uuid_des_sidejobs,Begriff-ID,UUID des Begriffs,begriff
0ee10e27-22d3-408b-abd6-44169f8242e7,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0ef01b6e-00e1-4ac9-998f-a3025750bb37,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0f0f3735-893d-4ff1-97ee-259ee4cd1474,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0f15cb47-5926-40d6-a34a-d3c4cd43c630,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0f1f13ec-0cf4-4f41-b54c-f3f3dae5397b,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0f22b1c1-5a25-4644-a242-9e2905b51ecc,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0f29b9e2-2903-45cf-82f5-68cca49bb5ca,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
0f41bc5d-2254-444a-8ae7-051fa273cd82,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0f54b304-4ab3-4304-aef7-cc03eaf6c457,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0f591b6c-6759-4e0d-ac76-68cf9f0bbd20,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0f600610-d256-4d9d-b84e-544695d84bb8,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0f714657-6998-4920-89b5-fcf4acc3e44e,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0f74cd23-3857-4ef1-9b60-a28abb786a1e,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
0f79b35c-e0fd-4b1f-b47b-5e53bbb5435c,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
0f7c180a-44b7-4723-b8c6-5820fc1abe44,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0f95bd41-ef15-41e7-ac28-8b9b71af6ddb,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
0fad6c24-607b-499e-8580-5e2a771418f7,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0fcac41e-1454-4ec6-85d7-14d8bcec2694,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0fefc905-fb50-4fa3-b8b3-b6c3b30f71e0,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
0ffabc5a-28a3-4432-b17f-127293144a63,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
10069032-f9d7-4563-98a9-d2a1dca5bcc2,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
100737b0-3304-4f82-9a04-88371ce1e367,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
102b9d90-b7c5-4ce7-ba7a-f4b6daea8353,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
1031062a-0fcd-4f2b-ad89-9bf4ffdbfb68,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
10312cbd-d91c-4365-908a-633d2ad41834,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
103336b9-c629-4983-93d0-b9c02c79dd71,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
105aa1b0-6954-4267-aa3e-d9c26c21847f,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
105c5f9e-c6ed-40c0-9b09-986fc280c3d5,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
108758eb-7523-4ca8-a2c8-dc7474b05c82,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
109a3474-1b32-4b47-aff0-01c8e683f6d2,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
10afa289-b636-48a4-81a0-623de254180b,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
10ca0bbe-e538-4531-9f5d-6d16bdfe27ae,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
10eea456-d574-4f2e-9639-84d0b6197294,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
115f29b4-45cc-46b1-b8fd-122bedb4171c,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
117ec975-66f9-4027-aa98-19b19607236b,29647,3b4e469d-51d8-459d-836a-e8f1d45424fc,Entgeltliche Tätigkeiten neben dem Mandat
11c0fd0c-53bc-469a-a27d-12af9f47754f,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
11ff2ab9-c390-4cbf-b1f5-b964eaef4524,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
12192383-8bc7-4ab3-a9b8-500dffbc9ce3,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
12218ec9-95c2-4914-b857-f605f3e8e2e5,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
125003e0-62bf-43fb-af1f-23396ee6470d,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
12514344-7030-49d8-96fc-4c42c6b8b6c6,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
125b2375-9000-44e0-96e2-197064fbf9f4,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
12682428-6bd8-4918-b1dc-bdeb47e36752,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
1287f024-fbb6-492e-812e-05c25f401f60,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
12b78ece-1e01-4257-80c6-3ab398ee230a,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
12dc2442-3fae-4e87-99a9-6db65e85de95,29229,1c002488-11a4-4bfa-a94d-b14661fe8aea,Funktionen in Körperschaften und Anstalten des öffentlichen Rechts
12e5b269-01db-49e1-9fcc-d7c83b940b54,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
13104b16-4114-45b3-8258-934d2cbc22ff,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
13360a21-cbb6-4801-a49b-47580a24d73a,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
134b3ace-6b6b-4ae8-a1f8-0e5f3801fa51,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
13711ee4-8515-4693-b6e9-ec41c7f5a9f8,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
138296c6-517c-4f7d-8426-d326a8273d32,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
13ceee35-16ac-4d94-adae-4f8f0db07ade,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
13dd3c07-97d3-4941-ab2a-c6ef581c0c96,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
142663bb-4174-4017-be91-1c38159d8df4,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
1428a5d8-436b-4b84-99cc-17addb141b37,29228,b27051ac-69a8-418a-a83c-0efe2a3a0476,Funktionen in Unternehmen
14310591-74de-4fd2-9133-5ff3eb33440d,29230,66e5076f-4f6f-4c69-abf1-f9b5e290836c,"Funktionen in Vereinen, Verbänden und Stiftungen"
